,MutNum,Alpha,Best_tol,Best_score,tn,fp,fn,tp
0,3,0.08,0.9249999999999999,0.11259999999999998,7757,2243,6631,3369
1,3,0.1,0.9249999999999999,0.15439999999999998,7757,2243,6213,3787
2,3,0.5,0.9249999999999999,0.5694999999999999,7757,2243,2062,7938
3,3,1.0,0.875,0.7823,8178,1822,355,9645
4,5,0.08,0.9249999999999999,0.1644,6642,3358,4998,5002
5,5,0.1,0.9249999999999999,0.2056,6642,3358,4586,5414
6,5,0.5,0.875,0.6111,7367,2633,1256,8744
7,5,1.0,0.6749999999999999,0.8762,9669,331,907,9093
8,10,0.08,0.8999999999999999,0.1935,5140,4860,3205,6795
9,10,0.1,0.85,0.2364,6536,3464,4172,5828
10,10,0.5,0.75,0.7757999999999999,8934,1066,1176,8824
11,10,1.0,0.625,0.9677,9809,191,132,9868
12,50,0.08,0.7749999999999999,0.4109,7656,2344,3547,6453
13,50,0.1,0.7749999999999999,0.49400000000000005,7656,2344,2716,7284
14,50,0.5,0.6,0.9925999999999999,9974,26,48,9952
15,50,1.0,0.5249999999999999,1.0,10000,0,0,10000
16,100,0.08,0.7749999999999999,0.5681,7568,2432,1887,8113
17,100,0.1,0.75,0.6477,8707,1293,2230,7770
18,100,0.5,0.575,0.9999,9999,1,0,10000
19,100,1.0,0.5499999999999999,1.0,10000,0,0,10000
20,200,0.08,0.75,0.7274,9027,973,1753,8247
21,200,0.1,0.75,0.7904,9027,973,1123,8877
22,200,0.5,0.625,1.0,10000,0,0,10000
23,200,1.0,0.625,1.0,10000,0,0,10000
24,500,0.08,0.75,0.9221999999999999,9642,358,420,9580
25,500,0.1,0.75,0.9321999999999999,9642,358,320,9680
26,500,0.5,0.6749999999999999,1.0,10000,0,0,10000
27,500,1.0,0.6749999999999999,1.0,10000,0,0,10000
28,1000,0.08,0.75,0.9867,9920,80,53,9947
29,1000,0.1,0.75,0.9819,9920,80,101,9899
30,1000,0.5,0.7,1.0,10000,0,0,10000
31,1000,1.0,0.7,1.0,10000,0,0,10000
32,5000,0.08,0.75,1.0,10000,0,0,10000
33,5000,0.1,0.75,0.9991,10000,0,9,9991
34,5000,0.5,0.75,1.0,10000,0,0,10000
35,5000,1.0,0.75,1.0,10000,0,0,10000
36,10000,0.08,0.75,1.0,10000,0,0,10000
37,10000,0.1,0.75,0.9996,10000,0,4,9996
38,10000,0.5,0.75,1.0,10000,0,0,10000
39,10000,1.0,0.75,1.0,10000,0,0,10000
40,100000,0.08,0.7749999999999999,1.0,10000,0,0,10000
41,100000,0.1,0.7749999999999999,1.0,10000,0,0,10000
42,100000,0.5,0.7749999999999999,1.0,10000,0,0,10000
43,100000,1.0,0.7749999999999999,1.0,10000,0,0,10000
